geography_level,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
US,2024-01-01,183.77000427246094,284413,146212,59.909999847412109,1680.02001953125,113.79000091552734,337.02999877929688,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-02-01,191.38999938964844,309623,164410,60.029998779296875,1727.5699462890625,117.38999938964844,345.17001342773438,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-03-01,194.82000732421875,369669,197657,59.9900016784668,1647.989990234375,119.48999786376953,352.48001098632812,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-04-01,198.55000305175781,358193,188913,60.340000152587891,1608.1500244140625,119.09999847412109,360.57998657226562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-05-01,198.5,372603,199508,60.599998474121094,1635.9000244140625,120.16000366210938,353.54998779296875,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-06-01,203.55000305175781,396581,211792,60.270000457763672,1657.6300048828125,121.68000030517578,375.739990234375,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-07-01,204.38999938964844,396852,207859,60.979999542236328,1653.3199462890625,123.44999694824219,375.83999633789062,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-08-01,198.58999633789062,369246,197156,60.299999237060547,1545.6500244140625,120.27999877929688,355.6199951171875,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-09-01,197.99000549316406,344934,181526,60.319999694824219,1578.6099853515625,120.30000305175781,363.07998657226562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-10-01,198.30999755859375,360555,185392,60.290000915527344,1588.9200439453125,121.62999725341797,359.47000122070312,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-11-01,185.96000671386719,274993,147951,58.9900016784668,1531.260009765625,114.31999969482422,330.92999267578125,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
US,2024-12-01,177.57000732421875,224722,123412,58.0099983215332,1588.199951171875,110.33999633789062,316.8800048828125,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:13:50.851074 UTC
