geography_level,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
US,2022-01-01,170.58000183105469,298816,154788,60.220001220703125,1587.3199462890625,109.23000335693359,314.04998779296875,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-02-01,179.69999694824219,328253,173891,60.860000610351562,1611.4599609375,112.55000305175781,326.29000854492188,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-03-01,188.55000305175781,414929,217175,61.5,1652.47998046875,116.98999786376953,343.94000244140625,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-04-01,190.53999328613281,398934,213530,61.700000762939453,1572.0899658203125,117.51999664306641,343.32998657226562,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-05-01,195.94999694824219,408240,216524,61.840000152587891,1661.56005859375,119.73999786376953,353.66000366210938,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-06-01,203.44000244140625,430894,225830,62.830001831054688,1709.4100341796875,125.30999755859375,373.45001220703125,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-07-01,205.6300048828125,445850,236787,62.889999389648438,1645.1199951171875,127.05999755859375,377.510009765625,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-08-01,197.91000366210938,396851,207145,62.7599983215332,1548.81005859375,123.45999908447266,351.45999145507812,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-09-01,195.94000244140625,384857,203389,62.689998626708984,1527.3399658203125,121.62000274658203,353.739990234375,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-10-01,195.42999267578125,399497,207599,62.619998931884766,1517.530029296875,121.93000030517578,353.76998901367188,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-11-01,183.0,326026,169898,61.270000457763672,1536.489990234375,114.54000091552734,331.989990234375,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
US,2022-12-01,171.13999938964844,296475,158828,60.139999389648438,1533.2099609375,110.25,309.010009765625,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:16:16.145314 UTC
