geography_level,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
US,2025-01-01,186.00999450683594,204629,109337,59.080001831054688,1632.469970703125,113.88999938964844,334.02999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-02-01,194.27000427246094,203979,110964,59.150001525878906,1709.6199951171875,117.59999847412109,353.83999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-03-01,196.60000610351562,254371,136222,59.229999542236328,1678.719970703125,119.04000091552734,356.14999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-04-01,198.72999572753906,226151,120761,59.729999542236328,1649.2900390625,120.30999755859375,363.67001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-05-01,199.64999389648438,228061,125156,59.880001068115234,1633.489990234375,122.36000061035156,360.57998657226562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-06-01,203.1199951171875,307978,164904,59.909999847412109,1649.3199462890625,122.38999938964844,371.98001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-07-01,202.8800048828125,339110,177733,59.909999847412109,1636.0699462890625,123.08000183105469,375.6400146484375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-08-01,196.30000305175781,313089,167881,59.200000762939453,1475.739990234375,119.30999755859375,345.83999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-09-01,199.25,293941,152915,59.569999694824219,1572.3900146484375,120.29000091552734,362.6199951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
US,2025-10-01,197.6199951171875,300634,157577,59.75,1596.4000244140625,120.76000213623047,363.29998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-01 03:11:24.379164 UTC
