geography_level,month_date,attraction_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_visitors,pct_frequent_high_volume_visitors,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2022-01-01,24.149999618530273,356209,196790,387500,382973,4527,1.17,204580,277,0.14,1.97,51,0.02,382973,26764,6.99,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-02-01,24.840000152587891,386671,215138,420769,415730,5039,1.2,224125,291,0.13,1.98,43,0.02,415730,29059,6.99,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-03-01,25.770000457763672,524338,283881,572602,563745,8857,1.55,296433,357,0.12,2.17,67,0.02,563745,39407,6.99,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-04-01,25.190000534057617,485419,266308,529036,521983,7053,1.33,277840,386,0.14,2.06,75,0.03,521983,36564,7.0,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-05-01,25.100000381469727,507656,280771,553066,545641,7425,1.34,292781,390,0.13,2.06,83,0.03,545641,37985,6.96,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-06-01,26.399999618530273,590561,319809,642588,635047,7541,1.17,333752,414,0.12,2.06,88,0.03,635047,44486,7.01,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-07-01,26.520000457763672,697543,373399,756995,749746,7249,0.96,389134,468,0.12,2.0,122,0.03,749746,52203,6.96,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-08-01,25.489999771118164,553767,302808,601949,595528,6421,1.07,316055,395,0.12,2.02,97,0.03,595528,41761,7.01,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-09-01,23.680000305175781,490088,271674,533779,526880,6899,1.29,284218,380,0.13,2.13,69,0.02,526880,36792,6.98,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-10-01,24.459999084472656,517147,280827,562869,555916,6953,1.24,293197,428,0.15,2.01,82,0.03,555916,38769,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-11-01,24.049999237060547,420135,227125,458543,451590,6953,1.52,237152,379,0.16,2.11,87,0.04,451590,31455,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
US,2022-12-01,25.610000610351562,421707,227731,460181,453569,6612,1.44,237764,401,0.17,2.07,66,0.03,453569,31862,7.02,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:44:21.877763 UTC
