geography_level,month_date,attraction_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_visitors,pct_frequent_high_volume_visitors,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2023-01-01,23.809999465942383,389512,208800,424594,418779,5815,1.37,217688,338,0.16,2.05,42,0.02,418779,29267,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-02-01,24.540000915527344,395976,216698,432015,425655,6360,1.47,226231,391,0.17,2.07,63,0.03,425655,29679,6.97,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-03-01,26.360000610351562,508565,271381,555490,546819,8671,1.56,282908,439,0.16,2.16,82,0.03,546819,38254,7.0,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-04-01,26.219999313354492,468970,263319,509966,504070,5896,1.16,274047,339,0.12,2.0,66,0.02,504070,35100,6.96,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-05-01,26.0,467088,261924,507459,502262,5197,1.02,273004,337,0.12,1.97,89,0.03,502262,35174,7.0,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-06-01,27.239999771118164,541014,296952,585754,581711,4043,0.69,309553,343,0.11,1.88,80,0.03,581711,40697,7.0,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-07-01,27.260000228881836,670727,364026,725836,721213,4623,0.64,378947,405,0.11,1.87,104,0.03,721213,50486,7.0,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-08-01,26.840000152587891,546282,306592,593236,587340,5896,0.99,319310,380,0.12,1.98,108,0.03,587340,41058,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-09-01,26.25,502582,287326,545184,540168,5016,0.92,299517,352,0.12,1.9,86,0.03,540168,37586,6.96,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-10-01,26.290000915527344,489424,276568,532005,526217,5788,1.09,288577,356,0.12,1.93,72,0.02,526217,36793,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-11-01,24.940000534057617,414748,228880,450743,445767,4976,1.1,238311,383,0.16,1.95,75,0.03,445767,31019,6.96,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
US,2023-12-01,25.399999618530273,463823,239885,508882,498697,10185,2.0,249833,596,0.24,2.26,110,0.04,498697,34874,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:43:34.491992 UTC
