geography_level,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
US,2024-01-01,19.149999618530273,37.520000457763672,26.790000915527344,1726923,683413,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-02-01,19.020000457763672,37.729999542236328,26.760000228881836,1976529,766095,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-03-01,19.5,38.950000762939453,27.5,2444146,915435,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-04-01,18.170000076293945,36.150001525878906,25.510000228881836,2358025,876501,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-05-01,19.229999542236328,38.130001068115234,26.909999847412109,2417719,922321,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-06-01,20.040000915527344,39.959999084472656,28.209999084472656,2627797,993195,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-07-01,20.159999847412109,40.639999389648438,28.530000686645508,2695032,1019299,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-08-01,19.290000915527344,38.459999084472656,27.040000915527344,2542366,978372,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-09-01,18.399999618530273,36.520000457763672,25.739999771118164,2380038,913250,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-10-01,19.239999771118164,37.869998931884766,26.920000076293945,2301447,884989,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-11-01,19.5,38.479999542236328,27.340000152587891,1913686,770704,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
US,2024-12-01,20.510000228881836,40.900001525878906,29.059999465942383,1613852,682982,SINGLE_MONTH,2024-01-01,2024-12-31,2025-12-01 03:36:02.895932 UTC
