geography_level,month_date,retail_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_shoppers,pct_frequent_high_volume_shoppers,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2024-01-01,33.380001068115234,3080235,1211600,3325559,3311575,13984,0.42,1268111,1355,0.11,1.86,181,0.01,3311575,231340,6.99,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-02-01,36.590000152587891,2568553,1171950,2768498,2761746,6752,0.24,1223393,782,0.06,1.48,157,0.01,2761746,193193,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-03-01,38.130001068115234,2849746,1276346,3069667,3063003,6664,0.22,1333607,763,0.06,1.48,127,0.01,3063003,213257,6.96,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-04-01,37.529998779296875,2683648,1227710,2890430,2884657,5773,0.2,1282336,743,0.06,1.47,137,0.01,2884657,201009,6.97,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-05-01,37.5099983215332,2873992,1299072,3095413,3089825,5588,0.18,1356688,727,0.05,1.47,138,0.01,3089825,215833,6.99,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-06-01,36.330001831054688,2978941,1325407,3207908,3202385,5523,0.17,1381152,826,0.06,1.5,196,0.01,3202385,223444,6.98,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-07-01,37.569999694824219,3275028,1426581,3528887,3522224,6663,0.19,1484051,974,0.07,1.52,247,0.02,3522224,247196,7.02,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-08-01,40.180000305175781,3609167,1542662,3887665,3881084,6581,0.17,1604937,942,0.06,1.49,196,0.01,3881084,271917,7.01,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-09-01,39.0,3237651,1440522,3487611,3481470,6141,0.18,1498425,791,0.05,1.47,148,0.01,3481470,243819,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-10-01,37.150001525878906,3031103,1334280,3264261,3259250,5011,0.15,1391164,716,0.05,1.45,112,0.01,3259250,228147,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-11-01,39.119998931884766,3117436,1332921,3358732,3352137,6595,0.2,1390600,857,0.06,1.47,138,0.01,3352137,234701,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
US,2024-12-01,39.4900016784668,3155589,1299840,3398637,3392281,6356,0.19,1357837,886,0.07,1.49,136,0.01,3392281,236692,6.98,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:53:49.168497 UTC
