geography_level,month_date,retail_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_shoppers,pct_frequent_high_volume_shoppers,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2022-01-01,37.2400016784668,3288047,1312055,3546191,3535490,10701,0.3,1365384,1454,0.11,1.54,161,0.01,3535490,247443,7.0,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-02-01,39.0099983215332,3032340,1301263,3272413,3260427,11986,0.37,1354345,1357,0.1,1.54,186,0.01,3260427,228087,7.0,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-03-01,39.880001068115234,3582388,1465001,3863669,3850855,12814,0.33,1525149,1459,0.1,1.54,211,0.01,3850855,268467,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-04-01,37.919998168945312,3267082,1361359,3524588,3513085,11503,0.33,1419644,1275,0.09,1.69,167,0.01,3513085,246003,7.0,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-05-01,36.75,3186155,1316277,3437783,3424639,13144,0.38,1372440,1360,0.1,1.56,182,0.01,3424639,238484,6.96,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-06-01,36.25,3173453,1317179,3423159,3411057,12102,0.35,1373029,1296,0.09,1.55,155,0.01,3411057,237604,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-07-01,36.389999389648438,3366020,1385481,3632535,3619393,13142,0.36,1444047,1285,0.09,1.57,162,0.01,3619393,253373,7.0,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-08-01,36.970001220703125,3250434,1347753,3508357,3493890,14467,0.41,1403802,1240,0.09,2.25,223,0.02,3493890,243456,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-09-01,36.2599983215332,3077452,1297938,3320807,3310569,10238,0.31,1356037,1114,0.08,1.53,148,0.01,3310569,233117,7.04,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-10-01,36.470001220703125,3203886,1341500,3453910,3444032,9878,0.29,1400684,1049,0.07,1.51,171,0.01,3444032,240146,6.97,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-11-01,39.159999847412109,3378889,1401326,3644623,3633631,10992,0.3,1463115,1242,0.08,1.52,183,0.01,3633631,254742,7.01,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
US,2022-12-01,37.840000152587891,3622183,1409905,3912224,3895182,17042,0.44,1471913,1621,0.11,1.86,168,0.01,3895182,272999,7.01,SINGLE_MONTH,2022-01-01,2022-12-31,10,2025-12-01 03:55:54.887516 UTC
