mtid,merch_desc,mcc,merch_type,merch_city,merch_state,merch_zip,merch_country,z_country,h3_13,delivery_date,ref_date
657928964c08688c60d9d0035308eb9b,THORNTONS #0616,5542,0,LEBANON,TN,37090,US,US,8d264db32163c7f,2025-10-27,2025-11-07
658061e0d4145b8dea9593725c459301,SQ *SOUTHERN WINGZ AND,5814,0,COURTLAND,MS,38620,US,US,8d445bba1b7517f,2025-11-10,2025-11-07
65839aeb167a1dd24144496e94c76068,MEIJER STORE #204        CAMBY        IN,5411,0,CAMBY,IN,46113,,US,8d2661af14024bf,2025-11-03,2025-11-07
6589b798f193c36ea931851498e391f3,SQ *BOBA LUV REXBURG,5814,0,REXBURG,ID,83440,US,US,8d28941b3da2aff,2025-11-10,2025-11-07
658a22219159fce7eaa0808961557c3d,JUST 4 HIM - CONROE,7230,0,CONROE,TX,77304,US,US,8d446d58895007f,2025-11-10,2025-11-07
658a6cfc9373e82167473d12b00ea82c,STOP & SHOP 684,5411,0,800-573-2763,CT,06489,US,US,8d2a143368d127f,2025-10-27,2025-11-07
65913e7152aedec6a2cf3449b7fd8271,SKY LOUNGE,5812,0,NORTH HOLLYWO,CA,91606,,US,8d29a18956104bf,2025-11-10,2025-11-07
6592fe80401c47283a344b5ebf39326a,SQ *YOLO CAFE,5814,0,KEENE,NH,03431,US,US,8d2a32c4c2b0a3f,2025-11-10,2025-11-07
659384711f69db59953066f070abed1d,YETI FAMILY GROC,5499,0,SCRANTON,PA,18505,,US,8d2aa5ad946233f,2025-11-10,2025-11-07
6595477aae6e95957d35ffa0866323ae,WILD CHILDS,5813,0,ENID,OK,73703,US,US,8d26c550831273f,2025-11-10,2025-11-07
