state,restaurant_transactions,accommodation_stays,attraction_transactions,retail_shopping_days,max_unique_visitors
TX,11048192,11708,3412153,53904,39687
FL,10607257,10922,3287968,73274,49113
CA,10348264,13081,6563590,251036,172477
TN,6232798,6319,4279872,26372,22103
CO,5141973,5070,913120,25544,28021
VA,4825070,4680,782874,20771,15639
WI,4605458,4474,1034512,28776,22962
NC,4557236,3669,1127989,29913,18858
OK,4171016,3149,427398,11743,13846
GA,3761432,4511,2122483,21332,18157
IL,3736404,4055,540713,19383,21200
SC,3623426,2483,660515,17723,13028
AK,3351454,1673,345704,13090,12216
LA,3153989,3504,252131,10567,11692
NV,3139280,5648,597584,17377,13109
PA,3059036,3899,810455,21892,17661
MO,3014174,3946,1207246,20817,16368
MS,2989432,2936,333252,10248,10309
AZ,2839754,2829,508971,22021,17171
MN,2555046,2788,409049,18246,14944
