census_region_division,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
East North Central,2025-01-01,180.82000732421875,21246,12765,59.959999084472656,1041.6700439453125,117.08999633789062,301.79998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-01-01,167.25999450683594,14968,8794,57.529998779296875,1187.18994140625,106.56999969482422,288.60000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-01-01,196.50999450683594,10347,6377,59.659999847412109,1473.52001953125,124.08000183105469,354.14999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-01-01,186.5,34855,20101,59.580001831054688,1534.550048828125,112.72000122070312,348.1199951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-01-01,208.88999938964844,3615,2443,62.220001220703125,1282.9200439453125,121.56999969482422,370.04998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-01-01,205.16999816894531,29146,16266,60.75,1987.239990234375,119.19000244140625,388.14999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-01-01,201.19000244140625,42876,24027,59.680000305175781,2625.489990234375,118.5,395.6199951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-01-01,166.8699951171875,18974,11086,60.439998626708984,954.6400146484375,113.68000030517578,276.57000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-01-01,168.80999755859375,28630,15659,55.639999389648438,1177.9000244140625,107.76000213623047,306.07000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-02-01,186.94000244140625,21712,13293,59.069999694824219,1035.22998046875,122.29000091552734,309.8900146484375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-02-01,176.89999389648438,16780,10036,57.2400016784668,1168.3800048828125,110.0,304.57000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-02-01,199.91999816894531,9764,6147,57.970001220703125,1424.3699951171875,124.59999847412109,347.39999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-02-01,188.60000610351562,32694,19191,58.919998168945312,1673.530029296875,112.43000030517578,349.69000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-02-01,227.44999694824219,3608,2408,60.049999237060547,1345.0699462890625,131.38999938964844,397.44000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-02-01,222.47000122070312,27965,16201,62.080001831054688,2065.449951171875,125.48000335693359,426.41000366210938,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-02-01,210.25,42896,24125,60.659999847412109,2603.949951171875,123.91999816894531,413.08999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-02-01,176.05999755859375,19603,11674,59.680000305175781,1003.3599853515625,117.43000030517578,299.47000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-02-01,178.39999389648438,28969,16081,56.049999237060547,1392.8699951171875,110.26000213623047,327.69000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-03-01,193.22000122070312,27520,16729,58.380001068115234,1200.27001953125,122.41999816894531,329.85000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-03-01,180.86000061035156,22740,13546,57.790000915527344,1381.1500244140625,111.66000366210938,316.48001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-03-01,207.75999450683594,12216,7564,60.069999694824219,1485.77001953125,130.02000427246094,380.26998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-03-01,192.49000549316406,39097,22675,60.159999847412109,1579.93994140625,116.62999725341797,351.42001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-03-01,226.50999450683594,4273,2956,64.370002746582031,1685.260009765625,128.44000244140625,394.39999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-03-01,216.86000061035156,32746,19011,61.520000457763672,2035.0699462890625,122.70999908447266,424.05999755859375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-03-01,211.97000122070312,53382,29363,60.330001831054688,2447.840087890625,124.62000274658203,409.72000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-03-01,182.66999816894531,26126,15336,60.080001831054688,1025.0400390625,119.30000305175781,310.1300048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-03-01,179.69000244140625,36225,19825,56.090000152587891,1335.050048828125,113.30999755859375,318.26998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-04-01,195.91999816894531,25994,15356,59.619998931884766,1258.0799560546875,123.80999755859375,343.6099853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-04-01,186.53999328613281,18607,10926,58.040000915527344,1314.800048828125,115.58000183105469,317.58999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
