census_region_division,month_date,attraction_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_visitors,pct_frequent_high_volume_visitors,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
East North Central,2025-01-01,21.350000381469727,20660,13643,22214,22208,6,0.03,14356,2,0.01,1.49,1,0.01,22208,1548,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-01-01,25.979999542236328,30539,19039,32629,32601,28,0.09,19577,6,0.03,1.44,2,0.01,32601,2062,6.32,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-01-01,19.079999923706055,57844,18947,63638,62193,1445,2.27,20132,144,0.72,2.56,20,0.1,62193,4349,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-01-01,28.6299991607666,35738,20975,39284,38424,860,2.19,22041,71,0.32,2.03,8,0.04,38424,2686,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-01-01,25.180000305175781,9799,6743,10572,10533,39,0.37,7040,5,0.07,1.6,1,0.01,10533,734,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-01-01,21.790000915527344,84883,32914,94962,91270,3692,3.89,34917,238,0.68,2.97,25,0.07,91270,6387,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-01-01,23.239999771118164,95942,40551,104890,103202,1688,1.61,43068,121,0.28,2.15,19,0.04,103202,7260,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-01-01,28.540000915527344,12425,8784,13472,13360,112,0.83,9160,8,0.09,1.81,4,0.04,13360,935,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-01-01,15.289999961853027,42752,28922,46030,45961,69,0.15,30132,12,0.04,1.49,7,0.02,45961,3209,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-02-01,21.659999847412109,19647,13435,21124,21121,3,0.01,14126,1,0.01,1.48,0,0.0,21121,1474,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-02-01,26.450000762939453,29055,18445,31080,31064,16,0.05,18929,5,0.03,1.46,1,0.01,31064,2009,6.47,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-02-01,19.409999847412109,50664,17803,55749,54469,1280,2.3,18993,120,0.63,2.54,14,0.07,54469,3805,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-02-01,28.3799991607666,33416,19662,36515,35913,602,1.65,20670,66,0.32,2.0,6,0.03,35913,2497,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-02-01,19.739999771118164,8860,6506,9542,9525,17,0.18,6780,5,0.07,1.49,0,0.0,9525,665,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-02-01,25.540000915527344,75283,31905,83023,80937,2086,2.51,34019,184,0.54,2.54,11,0.03,80937,5654,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-02-01,24.25,95701,42380,104679,102872,1807,1.73,44946,113,0.25,2.18,19,0.04,102872,7171,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-02-01,27.709999084472656,13354,9475,14359,14357,2,0.01,9940,1,0.01,1.52,0,0.0,14357,1003,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-02-01,15.050000190734863,39012,27037,41965,41938,27,0.06,28199,13,0.05,1.48,6,0.02,41938,2926,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-03-01,25.280000686645508,21689,15080,23330,23318,12,0.05,15812,4,0.03,1.51,2,0.01,23318,1629,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-03-01,28.219999313354492,37432,22165,40257,40240,17,0.04,22724,6,0.03,1.58,1,0.0,40240,2808,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-03-01,20.479999542236328,54192,20435,59865,58251,1614,2.7,21645,103,0.48,2.57,13,0.06,58251,4059,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-03-01,29.829999923706055,41282,23774,45012,44378,634,1.41,25039,65,0.26,1.95,11,0.04,44378,3096,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-03-01,10.479999542236328,9295,7039,10021,9992,29,0.29,7363,6,0.08,1.51,0,0.0,9992,697,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-03-01,28.909999847412109,85920,37228,95141,92404,2737,2.88,39601,202,0.51,2.62,19,0.05,92404,6484,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-03-01,25.729999542236328,107621,48939,117567,115711,1856,1.58,52022,115,0.22,2.18,20,0.04,115711,8090,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-03-01,31.239999771118164,22459,14446,24162,24143,19,0.08,15128,4,0.03,1.66,2,0.01,24143,1684,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-03-01,20.350000381469727,47345,30997,50947,50923,24,0.05,32302,11,0.03,1.57,6,0.02,50923,3578,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-04-01,22.239999771118164,21075,14495,22670,22652,18,0.08,15197,4,0.03,1.5,2,0.01,22652,1577,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-04-01,29.25,45676,29168,49007,48998,9,0.02,29860,3,0.01,1.45,0,0.0,48998,3322,6.78,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-04-01,22.069999694824219,53060,21043,57980,57062,918,1.58,22226,105,0.47,2.27,9,0.04,57062,4002,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-04-01,26.110000610351562,39281,21392,43499,42223,1276,2.93,22596,97,0.43,2.51,20,0.09,42223,2942,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-04-01,12.149999618530273,8395,6229,9042,9029,13,0.14,6500,4,0.06,1.55,3,0.05,9029,634,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-04-01,27.139999389648438,77126,34501,85014,82937,2077,2.44,36726,168,0.46,2.54,21,0.06,82937,5811,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-04-01,25.649999618530273,96133,45085,105481,103367,2114,2.0,48057,89,0.19,2.84,13,0.03,103367,7234,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-04-01,23.579999923706055,19801,11989,21387,21293,94,0.44,12578,10,0.08,1.73,1,0.01,21293,1492,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-04-01,18.209999084472656,37076,24232,39881,39865,16,0.04,25205,5,0.02,1.54,3,0.01,39865,2789,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-05-01,24.8799991607666,25731,17547,27677,27665,12,0.04,18437,6,0.03,1.62,3,0.02,27665,1934,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-05-01,29.350000381469727,45687,28470,49048,49031,17,0.03,29152,5,0.02,1.47,1,0.0,49031,3344,6.82,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-05-01,22.200000762939453,50693,20836,55536,54500,1036,1.87,22008,102,0.46,2.35,10,0.05,54500,3807,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-05-01,24.149999618530273,38072,20245,42042,40923,1119,2.66,21319,113,0.53,2.42,6,0.03,40923,2851,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-05-01,14.909999847412109,9646,6934,10435,10370,65,0.62,7257,10,0.14,1.76,4,0.06,10370,724,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-05-01,26.25,76085,34237,83733,81770,1963,2.34,36426,156,0.43,2.51,16,0.04,81770,5685,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-05-01,26.799999237060547,96213,47455,105175,103428,1747,1.66,50066,85,0.17,2.12,16,0.03,103428,7215,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-05-01,24.590000152587891,23788,13904,25684,25573,111,0.43,14584,11,0.08,1.82,1,0.01,25573,1785,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-05-01,17.590000152587891,42825,27742,46031,46022,9,0.02,28786,7,0.02,1.53,3,0.01,46022,3197,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-06-01,26.180000305175781,37966,24053,40843,40808,35,0.09,25271,12,0.05,1.77,3,0.01,40808,2842,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-06-01,29.850000381469727,61728,36112,66373,66362,11,0.02,36997,7,0.02,1.58,0,0.0,66362,4634,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-06-01,23.020000457763672,64913,27098,71045,69791,1254,1.77,28615,150,0.52,2.44,23,0.08,69791,4878,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-06-01,24.149999618530273,55548,26360,62115,59724,2391,3.85,27800,184,0.66,2.82,15,0.05,59724,4176,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-06-01,14.739999771118164,14234,9591,15420,15300,120,0.78,10017,13,0.13,1.84,2,0.02,15300,1066,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-06-01,26.040000915527344,98726,44997,109509,106131,3378,3.08,47863,222,0.46,2.75,46,0.1,106131,7405,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-06-01,28.469999313354492,133792,66953,144555,143849,706,0.49,70261,100,0.14,1.81,12,0.02,143849,10057,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-06-01,26.229999542236328,36309,20230,39127,39024,103,0.26,21109,20,0.09,1.87,1,0.0,39024,2715,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-06-01,17.290000915527344,64977,39757,69933,69859,74,0.11,41263,19,0.05,1.66,9,0.02,69859,4882,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-07-01,26.969999313354492,56947,34635,61287,61231,56,0.09,36278,24,0.07,1.78,7,0.02,61231,4284,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-07-01,30.549999237060547,78307,44938,84149,84117,32,0.04,46010,9,0.02,1.6,3,0.01,84117,5810,6.91,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-07-01,21.959999084472656,79435,32788,86957,85362,1595,1.83,34691,168,0.48,2.42,24,0.07,85362,5927,6.94,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-07-01,24.899999618530273,72815,33432,81531,78308,3223,3.95,35011,233,0.67,2.91,18,0.05,78308,5493,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-07-01,18.899999618530273,20583,13175,22326,22129,197,0.88,13805,18,0.13,1.98,6,0.04,22129,1546,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-07-01,24.989999771118164,131023,56875,145876,140821,5055,3.47,60612,337,0.56,2.84,49,0.08,140821,9798,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-07-01,29.930000305175781,160922,82280,174604,172989,1615,0.92,86267,123,0.14,1.92,28,0.03,172989,12067,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-07-01,26.829999923706055,43444,23801,46845,46705,140,0.3,24876,14,0.06,1.92,0,0.0,46705,3261,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-07-01,18.829999923706055,79265,46607,85601,85236,365,0.43,48370,50,0.1,1.79,15,0.03,85236,5971,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-08-01,26.790000915527344,52970,34595,57052,56950,102,0.18,36199,27,0.07,1.75,13,0.04,56950,3980,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-08-01,27.260000228881836,55210,32988,59359,59345,14,0.02,33765,6,0.02,1.55,3,0.01,59345,4135,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-08-01,22.510000228881836,86156,35781,94563,92622,1941,2.05,37818,198,0.52,2.47,29,0.08,92622,6466,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-08-01,23.409999847412109,69319,28954,78614,74495,4119,5.24,30343,269,0.89,3.4,25,0.08,74495,5176,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-08-01,19.959999084472656,23204,14217,25238,24956,282,1.12,14896,27,0.18,2.1,5,0.03,24956,1752,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-08-01,25.969999313354492,125080,55554,139235,134508,4727,3.39,59235,271,0.46,2.92,35,0.06,134508,9428,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-08-01,30.1299991607666,166377,91735,180117,178879,1238,0.69,96179,112,0.12,1.77,20,0.02,178879,12502,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West North Central,2025-08-01,24.569999694824219,43651,24387,47038,46919,119,0.25,25531,25,0.1,1.92,8,0.03,46919,3268,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
West South Central,2025-08-01,18.75,72256,44980,77973,77664,309,0.4,46767,36,0.08,1.75,10,0.02,77664,5408,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East North Central,2025-09-01,23.6299991607666,36938,25499,39731,39697,34,0.09,26831,9,0.03,1.54,3,0.01,39697,2759,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
East South Central,2025-09-01,26.780000686645508,48012,29965,51570,51485,85,0.16,30680,8,0.03,1.53,1,0.0,51485,3473,6.75,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Middle Atlantic,2025-09-01,21.200000762939453,96769,36001,105695,103971,1724,1.63,38151,177,0.46,2.16,26,0.07,103971,7202,6.93,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Mountain,2025-09-01,22.110000610351562,67145,24508,78146,72192,5954,7.62,26135,320,1.22,4.19,33,0.13,72192,5047,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
New England,2025-09-01,19.590000152587891,13874,9339,15049,14918,131,0.87,9811,16,0.16,1.85,1,0.01,14918,1044,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
Pacific,2025-09-01,25.790000915527344,109499,47845,121941,117724,4217,3.46,51240,290,0.57,2.86,38,0.07,117724,8225,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
South Atlantic,2025-09-01,25.0,136068,64333,147689,146340,1349,0.91,68058,161,0.24,1.88,24,0.04,146340,10272,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 22:56:18.999533 UTC
