census_region_division,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
East North Central,2025-01-01,17.649999618530273,34.979999542236328,24.569999694824219,145039,76896,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-01-01,19.659999847412109,37.7599983215332,27.350000381469727,122518,55496,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-01-01,17.5,35.139999389648438,24.579999923706055,72618,36359,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-01-01,19.790000915527344,39.389999389648438,27.920000076293945,204982,88083,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-01-01,17.590000152587891,36.169998168945312,24.819999694824219,31218,14220,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-01-01,20.110000610351562,40.569999694824219,28.059999465942383,217278,92639,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-01-01,20.319999694824219,40.060001373291016,28.600000381469727,293425,118509,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-01-01,18.139999389648438,35.659999847412109,25.3700008392334,112542,56489,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-01-01,19.350000381469727,37.229999542236328,26.729999542236328,215578,89644,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East North Central,2025-02-01,16.799999237060547,33.900001525878906,23.569999694824219,152889,77301,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-02-01,19.540000915527344,38.25,27.389999389648438,138617,60189,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-02-01,17.030000686645508,34.729999542236328,24.040000915527344,69740,33535,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-02-01,19.920000076293945,39.819999694824219,28.149999618530273,201818,85065,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-02-01,16.809999465942383,35.479999542236328,23.959999084472656,33063,14488,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-02-01,19.8700008392334,40.479999542236328,27.909999847412109,208567,87960,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-02-01,20.3799991607666,40.479999542236328,28.760000228881836,314247,122305,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-02-01,17.239999771118164,34.669998168945312,24.270000457763672,123110,58542,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-02-01,19.420000076293945,37.529998779296875,26.819999694824219,222005,89021,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East North Central,2025-03-01,17.559999465942383,34.939998626708984,24.469999313354492,187292,94045,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-03-01,20.819999694824219,40.400001525878906,29.299999237060547,179055,76771,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-03-01,17.1299991607666,35.020000457763672,24.180000305175781,89273,41300,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-03-01,20.280000686645508,40.720001220703125,28.760000228881836,245307,100657,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-03-01,17.049999237060547,35.970001220703125,24.329999923706055,36579,15637,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-03-01,20.280000686645508,41.470001220703125,28.649999618530273,248758,101080,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-03-01,20.530000686645508,41.209999084472656,29.1299991607666,421210,157421,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-03-01,18.299999237060547,36.849998474121094,25.889999389648438,159516,75052,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-03-01,19.989999771118164,39.340000152587891,27.989999771118164,274525,107772,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East North Central,2025-04-01,17.010000228881836,33.619998931884766,23.6299991607666,174906,86427,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-04-01,19.780000686645508,38.4900016784668,27.680000305175781,155680,66553,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-04-01,16.809999465942383,34.470001220703125,23.75,82714,38725,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-04-01,19.719999313354492,39.169998168945312,27.75,204803,86426,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-04-01,16.459999084472656,34.7599983215332,23.489999771118164,34164,14218,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-04-01,20.079999923706055,40.639999389648438,28.180000305175781,224162,93225,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-04-01,20.3700008392334,41.169998168945312,28.969999313354492,355129,136659,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-04-01,17.549999237060547,34.7599983215332,24.590000152587891,140627,65622,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-04-01,19.010000228881836,36.9900016784668,26.340000152587891,223933,88122,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East North Central,2025-05-01,18.569999694824219,36.639999389648438,26.020000457763672,182399,93344,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-05-01,21.709999084472656,41.75,30.530000686645508,155498,70273,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-05-01,18.290000915527344,37.119998931884766,25.8799991607666,88652,42754,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-05-01,20.510000228881836,40.380001068115234,28.760000228881836,207837,92574,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-05-01,18.719999313354492,39.810001373291016,26.899999618530273,38787,16943,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-05-01,20.479999542236328,41.319999694824219,28.780000686645508,231892,97420,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-05-01,21.340000152587891,42.810001373291016,30.360000610351562,350336,138305,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-05-01,19.0,37.729999542236328,26.920000076293945,152848,73589,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-05-01,20.049999237060547,39.2599983215332,28.100000381469727,224363,91559,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East North Central,2025-06-01,19.590000152587891,38.029998779296875,27.219999313354492,233181,118844,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
East South Central,2025-06-01,22.940000534057617,44.0099983215332,32.229999542236328,195242,86872,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Middle Atlantic,2025-06-01,18.840000152587891,37.819999694824219,26.489999771118164,122571,58583,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Mountain,2025-06-01,20.739999771118164,40.849998474121094,29.1200008392334,264772,119955,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
New England,2025-06-01,21.350000381469727,44.770000457763672,31.0,54347,24072,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
Pacific,2025-06-01,21.0,42.610000610351562,29.610000610351562,297154,127629,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
South Atlantic,2025-06-01,22.549999237060547,45.9900016784668,32.290000915527344,483357,191115,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West North Central,2025-06-01,20.360000610351562,39.959999084472656,28.719999313354492,183068,89932,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
West South Central,2025-06-01,20.430000305175781,40.139999389648438,28.680000305175781,301268,119254,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:59:18.732182 UTC
