census_region_division,month_date,retail_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_shoppers,pct_frequent_high_volume_shoppers,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
Pacific,2025-01-01,29.200000762939453,799645,321221,862591,859605,2986,0.35,338377,377,0.11,1.5,32,0.01,859605,59960,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
South Atlantic,2025-01-01,35.069999694824219,429928,236957,462642,462286,356,0.08,249567,85,0.03,1.36,18,0.01,462286,32358,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East North Central,2025-01-01,39.610000610351562,293697,166350,316145,315934,211,0.07,175916,44,0.03,1.24,9,0.01,315934,22237,7.04,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Middle Atlantic,2025-01-01,39.540000915527344,237689,148777,255842,255529,313,0.12,156083,73,0.05,1.42,23,0.01,255529,17840,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Mountain,2025-01-01,39.450000762939453,173743,102384,186818,186779,39,0.02,107826,11,0.01,1.38,2,0.0,186779,13036,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West South Central,2025-01-01,42.25,137476,82542,147868,147830,38,0.03,86661,6,0.01,1.36,3,0.0,147830,10354,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West North Central,2025-01-01,49.180000305175781,125789,84221,135351,135269,82,0.06,88120,24,0.03,1.33,10,0.01,135269,9480,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East South Central,2025-01-01,35.779998779296875,92359,49009,99558,99322,236,0.24,51681,46,0.09,1.52,6,0.01,99322,6963,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
New England,2025-01-01,45.799999237060547,40363,28347,43404,43394,10,0.02,29584,2,0.01,1.28,1,0.0,43394,3031,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Pacific,2025-02-01,29.729999542236328,627750,277792,677276,675032,2244,0.33,292187,295,0.1,1.49,27,0.01,675032,47282,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
South Atlantic,2025-02-01,35.139999389648438,401522,229956,432289,431766,523,0.12,241863,77,0.03,1.39,29,0.01,431766,30244,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East North Central,2025-02-01,38.919998168945312,233924,140535,251712,251579,133,0.05,148292,27,0.02,1.23,7,0.0,251579,17655,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Middle Atlantic,2025-02-01,40.279998779296875,211652,133008,227879,227577,302,0.13,139763,83,0.06,1.43,28,0.02,227577,15925,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Mountain,2025-02-01,39.709999084472656,164823,96124,177287,177186,101,0.06,101040,14,0.01,1.42,4,0.0,177186,12363,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West South Central,2025-02-01,43.150001525878906,134770,79613,144958,144929,29,0.02,83592,12,0.01,1.38,2,0.0,144929,10159,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West North Central,2025-02-01,46.349998474121094,125336,83422,134869,134780,89,0.07,87269,15,0.02,1.35,7,0.01,134780,9444,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East South Central,2025-02-01,37.729999542236328,94388,50291,101743,101467,276,0.27,53174,38,0.07,1.54,4,0.01,101467,7079,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
New England,2025-02-01,42.900001525878906,39263,27250,42204,42173,31,0.07,28336,7,0.02,1.37,6,0.02,42173,2910,6.9,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Pacific,2025-03-01,30.139999389648438,677895,287939,732034,728966,3068,0.42,303278,298,0.1,1.53,43,0.01,728966,51071,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
South Atlantic,2025-03-01,34.939998626708984,489269,270441,526195,525761,434,0.08,283677,97,0.03,1.41,29,0.01,525761,36492,6.94,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Middle Atlantic,2025-03-01,41.060001373291016,222963,137333,240167,239671,496,0.21,144360,78,0.05,1.46,20,0.01,239671,16708,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East North Central,2025-03-01,43.659999847412109,220320,144470,236974,236870,104,0.04,152077,25,0.02,1.28,4,0.0,236870,16550,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Mountain,2025-03-01,39.860000610351562,206161,114404,221643,221623,20,0.01,120353,14,0.01,1.44,2,0.0,221623,15462,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West South Central,2025-03-01,42.459999084472656,169676,95772,182448,182418,30,0.02,100591,5,0.0,1.43,2,0.0,182418,12742,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West North Central,2025-03-01,44.319999694824219,158653,99931,170705,170652,53,0.03,104746,11,0.01,1.41,5,0.0,170652,11999,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East South Central,2025-03-01,39.159999847412109,124150,63812,133723,133473,250,0.19,67449,34,0.05,1.57,1,0.0,133473,9323,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
New England,2025-03-01,46.599998474121094,41846,28449,45030,45010,20,0.04,29745,8,0.03,1.31,2,0.01,45010,3164,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Pacific,2025-04-01,30.079999923706055,604645,258734,652480,649916,2564,0.39,272688,268,0.1,1.51,31,0.01,649916,45271,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
South Atlantic,2025-04-01,35.5,400099,223102,430777,430233,544,0.13,234169,65,0.03,1.42,14,0.01,430233,30134,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Middle Atlantic,2025-04-01,43.799999237060547,185964,120535,200169,199910,259,0.13,126171,56,0.04,1.43,30,0.02,199910,13946,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Mountain,2025-04-01,38.810001373291016,171438,97964,184358,184304,54,0.03,102922,15,0.01,1.41,4,0.0,184304,12866,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East North Central,2025-04-01,46.220001220703125,164494,109000,176920,176846,74,0.04,114706,12,0.01,1.29,5,0.0,176846,12352,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West South Central,2025-04-01,42.150001525878906,134297,77681,144490,144452,38,0.03,81528,6,0.01,1.38,4,0.0,144452,10155,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
West North Central,2025-04-01,44.2599983215332,133061,85332,143126,143087,39,0.03,89270,11,0.01,1.37,3,0.0,143087,10026,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
East South Central,2025-04-01,37.860000610351562,105719,54672,113859,113657,202,0.18,57737,32,0.06,1.53,1,0.0,113657,7938,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
New England,2025-04-01,45.029998779296875,41087,26724,44206,44187,19,0.04,27956,5,0.02,1.29,1,0.0,44187,3100,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Pacific,2025-05-01,31.479999542236328,588172,250809,634603,632536,2067,0.33,264747,271,0.1,1.51,36,0.01,632536,44364,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
South Atlantic,2025-05-01,37.130001068115234,375635,207035,404906,403848,1058,0.26,217882,53,0.02,1.47,14,0.01,403848,28213,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
Middle Atlantic,2025-05-01,43.770000457763672,181760,117988,195522,195346,176,0.09,123554,45,0.04,1.38,25,0.02,195346,13586,6.95,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-02 23:02:32.945365 UTC
