merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
FL,2025-01-01,218.57000732421875,2656777,11305,57.849998474121094,3443.68994140625,118.76000213623047,471.94000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CA,2025-01-01,214.69999694824219,2253011,9785,60.9900016784668,1846.52001953125,118.83999633789062,413.76998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TX,2025-01-01,188.49000549316406,2112430,9397,55.959999084472656,1337.6800537109375,118.08999633789062,356.98001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NV,2025-01-01,203.52000427246094,1992325,7577,60.310001373291016,1568.530029296875,113.83999633789062,379.42999267578125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TN,2025-01-01,182.47000122070312,894095,3755,56.020000457763672,1462.4599609375,112.61000061035156,345.510009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CO,2025-01-01,187.80000305175781,817827,3648,57.709999084472656,1417.239990234375,118.26999664306641,361.6099853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WI,2025-01-01,184.67999267578125,806714,3477,61.549999237060547,1014.260009765625,120.40000152587891,292.77999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
GA,2025-01-01,191.99000549316406,797500,3666,58.889999389648438,1579.050048828125,121.65000152587891,362.510009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
VA,2025-01-01,180.78999328613281,770533,2835,59.959999084472656,1303.06005859375,115.59999847412109,329.8800048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IL,2025-01-01,187.71000671386719,747990,3095,56.819999694824219,1108.68994140625,118.87999725341797,311.8699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
LA,2025-01-01,175.6300048828125,731491,2753,53.590000152587891,1345.93994140625,108.61000061035156,307.52999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AZ,2025-01-01,216.91999816894531,710156,3216,60.869998931884766,2172.719970703125,122.01999664306641,450.32998657226562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
PA,2025-01-01,196.91999816894531,702719,2874,59.369998931884766,1050.530029296875,123.5,331.8599853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OK,2025-01-01,155.19999694824219,684419,2633,53.430000305175781,771.239990234375,108.66000366210938,256.1300048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MO,2025-01-01,175.92999267578125,632081,2588,62.560001373291016,1005.780029296875,118.75,280.17001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OH,2025-01-01,193.30999755859375,598304,2481,60.810001373291016,991.78997802734375,129.44000244140625,349.5,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IN,2025-01-01,187.44000244140625,569757,2154,57.080001831054688,1113.4200439453125,127.79000091552734,322.80999755859375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
KS,2025-01-01,166.3699951171875,546505,2056,66.790000915527344,740.65997314453125,116.65000152587891,261.67999267578125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NC,2025-01-01,196.30999755859375,538631,2699,56.9900016784668,1775.3299560546875,128.08999633789062,367.35000610351562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
KY,2025-01-01,176.69999694824219,514119,2000,61.540000915527344,1038.239990234375,124.98999786376953,295.8599853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WA,2025-01-01,191.35000610351562,510633,2199,56.639999389648438,1153.280029296875,115.23000335693359,343.08999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NM,2025-01-01,160.97999572753906,510332,2226,53.349998474121094,799.6099853515625,102.76000213623047,233.88999938964844,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MN,2025-01-01,191.10000610351562,506155,2371,54.900001525878906,1018.030029296875,126.88999938964844,325.33999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MS,2025-01-01,141.27999877929688,487513,1880,53.330001831054688,752.760009765625,97.389999389648438,221.25999450683594,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OR,2025-01-01,234.57000732421875,471164,1853,68.550003051757812,2454.8701171875,146.74000549316406,448.17999267578125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NY,2025-01-01,208.91000366210938,456939,2496,56.340000152587891,1833.3499755859375,135.3699951171875,395.52999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AK,2025-01-01,173.83000183105469,452349,1562,52.630001068115234,1175.550048828125,102.73000335693359,285.85000610351562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MI,2025-01-01,181.21000671386719,425560,2098,59.220001220703125,973.010009765625,118.36000061035156,302.8900146484375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IA,2025-01-01,177.66000366210938,415620,1747,57.830001831054688,911.46002197265625,128.35000610351562,279.41000366210938,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AR,2025-01-01,159.07000732421875,350246,1469,59.349998474121094,783.969970703125,113.68000030517578,252.92999267578125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MT,2025-01-01,185.27000427246094,349136,1170,79.2300033569336,1169.25,132.1199951171875,298.14999389648438,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
HI,2025-01-01,269.45999145507812,348269,1312,61.819999694824219,4516.52001953125,128.5,615.94000244140625,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
