merch_state,month_date,retail_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
CA,2024-01-01,25.680000305175781,152706790,302673,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
OH,2024-01-01,27.8799991607666,114167773,202817,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
NY,2024-01-01,37.049999237060547,35928438,157166,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
FL,2024-01-01,39.619998931884766,18850696,77740,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
TX,2024-01-01,41.669998168945312,16217709,68662,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
PA,2024-01-01,46.619998931884766,8757079,36057,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
WI,2024-01-01,47.069999694824219,8635241,30334,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
MN,2024-01-01,52.200000762939453,7816087,28946,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
DE,2024-01-01,36.049999237060547,7065256,38087,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
NV,2024-01-01,25.850000381469727,6742924,24790,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
IL,2024-01-01,38.689998626708984,6732240,30474,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
GA,2024-01-01,35.4900016784668,6639501,26982,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
AZ,2024-01-01,31.829999923706055,6588858,24210,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
VA,2024-01-01,36.080001831054688,6296261,18907,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
CO,2024-01-01,40.049999237060547,5776562,27412,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
TN,2024-01-01,42.580001831054688,5747035,26637,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
MO,2024-01-01,59.470001220703125,5657208,25508,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
HI,2024-01-01,31.600000381469727,5655288,12683,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
WA,2024-01-01,39.229999542236328,5185311,21272,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
UT,2024-01-01,48.360000610351562,5100051,21336,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
NC,2024-01-01,44.900001525878906,4970065,21970,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
KS,2024-01-01,36.889999389648438,4628720,20292,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
AK,2024-01-01,31.450000762939453,4276483,9560,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
NJ,2024-01-01,43.549999237060547,3939905,16114,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
IA,2024-01-01,71.010002136230469,3710339,12354,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
MA,2024-01-01,57.360000610351562,3630303,15640,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
KY,2024-01-01,29.649999618530273,3439596,12607,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
MI,2024-01-01,52.229999542236328,3376592,15475,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
LA,2024-01-01,34.840000152587891,3300325,13119,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 18:10:45.297586 UTC
