merch_state,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
TX,2025-01-01,20.350000381469727,38.849998474121094,27.969999313354492,16571807,51509,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
CA,2025-01-01,19.790000915527344,40.669998168945312,27.920000076293945,15535264,55661,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
FL,2025-01-01,25.069999694824219,48.639999389648438,35.069999694824219,14372615,46366,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
TN,2025-01-01,23.1200008392334,42.419998168945312,32.5,8008997,25007,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
AZ,2025-01-01,21.100000381469727,41.360000610351562,29.920000076293945,7096480,20189,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
CO,2025-01-01,18.020000457763672,35.409999847412109,24.790000915527344,6894919,23508,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
VA,2025-01-01,18.75,35.909999847412109,25.770000457763672,6825600,16619,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
OK,2025-01-01,15.0600004196167,30.069999694824219,20.829999923706055,6431506,17302,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
GA,2025-01-01,18.920000076293945,35.290000915527344,25.680000305175781,6063365,22863,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
NV,2025-01-01,24.360000610351562,49.080001831054688,34.459999084472656,5849230,17702,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
IL,2025-01-01,17.850000381469727,35.069999694824219,24.639999389648438,5788278,30123,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
WI,2025-01-01,17.010000228881836,34.150001525878906,24.069999694824219,5302927,19199,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
LA,2025-01-01,21.799999237060547,41.380001068115234,30.290000915527344,5251351,15805,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
MS,2025-01-01,18.309999465942383,34.439998626708984,25.0,4677847,12544,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
NC,2025-01-01,20.010000228881836,37.450000762939453,27.100000381469727,4555192,14613,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
AK,2025-01-01,22.899999618530273,44.340000152587891,32.0,4320831,10526,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
PA,2025-01-01,17.690000534057617,33.880001068115234,24.340000152587891,4173101,16592,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
HI,2025-01-01,22.159999847412109,44.409999847412109,31.1299991607666,4050678,10551,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
KS,2025-01-01,18.200000762939453,34.700000762939453,24.909999847412109,3953832,12763,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
NY,2025-01-01,17.709999084472656,35.959999084472656,25.040000915527344,3852071,16497,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
NM,2025-01-01,23.059999465942383,43.169998168945312,32.049999237060547,3412367,10583,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
MN,2025-01-01,18.430000305175781,36.689998626708984,26.1200008392334,3340153,13535,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
WA,2025-01-01,20.1200008392334,38.590000152587891,27.280000686645508,3298168,12713,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
KY,2025-01-01,20.100000381469727,37.889999389648438,27.75,3136293,11563,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
MO,2025-01-01,19.469999313354492,37.389999389648438,26.930000305175781,3129608,12024,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
MI,2025-01-01,18.540000915527344,35.810001373291016,26.090000152587891,2758035,10624,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
IN,2025-01-01,17.6299991607666,33.159999847412109,23.770000457763672,2753784,9840,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
AR,2025-01-01,19.920000076293945,37.200000762939453,27.549999237060547,2747993,8699,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
UT,2025-01-01,15.920000076293945,31.010000228881836,22.079999923706055,2651050,10202,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
OH,2025-01-01,18.659999847412109,35.970001220703125,25.729999542236328,2510788,10043,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
SC,2025-01-01,19.180000305175781,36.819999694824219,26.780000686645508,2509286,8482,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
AL,2025-01-01,18.959999084472656,35.979999542236328,26.049999237060547,2494600,8531,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
IA,2025-01-01,15.100000381469727,30.559999465942383,21.149999618530273,2294657,8027,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
OR,2025-01-01,17.790000915527344,35.220001220703125,25.0,1734392,6413,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
WV,2025-01-01,16.840000152587891,33.610000610351562,23.909999847412109,1660890,5182,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:39:36.731682 UTC
